Filename;Precision;Recall;F1
C-14;0.07142857142857142;0.14;0.09
C-17;0.0625;0.12;0.08
C-18;0.03571428571428571;0.07;0.05
C-19;0.038461538461538464;0.08;0.05
C-20;0.07692307692307693;0.15;0.1
C-22;0.0;0.0;0.0
C-23;0.0;0.0;0.0
C-27;0.07142857142857142;0.14;0.09
C-28;0.06666666666666667;0.13;0.09
C-29;0.0;0.0;0.0
C-3;0.0;0.0;0.0
C-30;0.09375;0.19;0.13
C-31;0.03333333333333333;0.07;0.05
C-32;0.03333333333333333;0.07;0.05
C-33;0.045454545454545456;0.09;0.06
C-34;0.08333333333333333;0.17;0.11
C-36;0.041666666666666664;0.08;0.05
C-38;0.0;0.0;0.0
C-4;0.0;0.0;0.0
C-40;0.03571428571428571;0.07;0.05
C-6;0.0;0.0;0.0
C-8;0.022727272727272728;0.05;0.03
C-9;0.03571428571428571;0.07;0.05
